"","dates","sp_all","abundance_warm"
"53","1998","Anas acuta",4375
"54","1999","Anas acuta",1531.25
"55","2000","Anas acuta",3500
"56","2001","Anas acuta",3937.5
"57","2002","Anas acuta",1312.5
"58","2003","Anas acuta",1968.75
"59","2004","Anas acuta",2843.75
"60","2005","Anas acuta",1531.25
"61","2006","Anas acuta",1968.75
"62","2007","Anas acuta",1968.75
"63","2008","Anas acuta",1093.75
"64","2009","Anas acuta",218.75
"65","2010","Anas acuta",0
"66","2011","Anas acuta",1312.5
"67","2012","Anas acuta",875
"68","2013","Anas acuta",1093.75
"69","2014","Anas acuta",1093.75
"70","2015","Anas acuta",1312.5
"71","1981","Anas strepera",6587.5
"72","1982","Anas strepera",1550
"73","1983","Anas strepera",2518.75
"74","1984","Anas strepera",1743.75
"75","1985","Anas strepera",2325
"76","1986","Anas strepera",7168.75
"77","1987","Anas strepera",0
"78","1988","Anas strepera",0
"79","1989","Anas strepera",2712.5
"80","1990","Anas strepera",2906.25
"81","1991","Anas strepera",3875
"82","1992","Anas strepera",2325
"83","1993","Anas strepera",6200
"84","1994","Anas strepera",3100
"85","1995","Anas strepera",8525
"86","1996","Anas strepera",1162.5
"87","1997","Anas strepera",4262.5
"88","1998","Anas strepera",1356.25
"89","1999","Anas strepera",2325
"90","2000","Anas strepera",3100
"91","2001","Anas strepera",968.75
"92","2002","Anas strepera",193.75
"93","2003","Anas strepera",1162.5
"94","2004","Anas strepera",0
"95","2005","Anas strepera",775
"96","2006","Anas strepera",1937.5
"97","2007","Anas strepera",193.75
"98","2008","Anas strepera",1550
"99","2009","Anas strepera",2712.5
"100","2010","Anas strepera",193.75
"101","2011","Anas strepera",1162.5
"102","2012","Anas strepera",7362.5
"103","2013","Anas strepera",3681.25
"104","2014","Anas strepera",193.75
"105","2015","Anas strepera",1162.5
"106","1981","Anas penelope",1360.625
"107","1982","Anas penelope",583.125
"108","1983","Anas penelope",2526.875
"109","1984","Anas penelope",1166.25
"110","1985","Anas penelope",777.5
"111","1986","Anas penelope",2526.875
"112","1987","Anas penelope",0
"113","1988","Anas penelope",0
"114","1989","Anas penelope",777.5
"115","1990","Anas penelope",194.375
"116","1991","Anas penelope",777.5
"117","1992","Anas penelope",583.125
"118","1993","Anas penelope",1166.25
"119","1994","Anas penelope",388.75
"120","1995","Anas penelope",0
"121","1996","Anas penelope",194.375
"122","1997","Anas penelope",0
"123","1998","Anas penelope",0
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",0
"127","2002","Anas penelope",0
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0
"132","2007","Anas penelope",0
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0
"135","2010","Anas penelope",0
"136","2011","Anas penelope",0
"137","2012","Anas penelope",0
"138","2013","Anas penelope",971.875
"139","2014","Anas penelope",0
"140","2015","Anas penelope",0
"141","1981","Anas clypeata",10150
"142","1982","Anas clypeata",4725
"143","1983","Anas clypeata",7175
"144","1984","Anas clypeata",3675
"145","1985","Anas clypeata",9100
"146","1986","Anas clypeata",5775
"147","1987","Anas clypeata",2100
"148","1988","Anas clypeata",8750
"149","1989","Anas clypeata",5075
"150","1990","Anas clypeata",7525
"151","1991","Anas clypeata",4375
"152","1992","Anas clypeata",9450
"153","1993","Anas clypeata",7525
"154","1994","Anas clypeata",7700
"155","1995","Anas clypeata",7700
"156","1996","Anas clypeata",4725
"157","1997","Anas clypeata",3850
"158","1998","Anas clypeata",1925
"159","1999","Anas clypeata",13300
"160","2000","Anas clypeata",12075
"161","2001","Anas clypeata",5600
"162","2002","Anas clypeata",5775
"163","2003","Anas clypeata",4025
"164","2004","Anas clypeata",2975
"165","2005","Anas clypeata",0
"166","2006","Anas clypeata",2800
"167","2007","Anas clypeata",3150
"168","2008","Anas clypeata",2800
"169","2009","Anas clypeata",4200
"170","2010","Anas clypeata",6475
"171","2011","Anas clypeata",1750
"172","2012","Anas clypeata",4725
"173","2013","Anas clypeata",9975
"174","2014","Anas clypeata",6825
"175","2015","Anas clypeata",4375
"176","1981","Anas crecca",4550
"177","1982","Anas crecca",3331.25
"178","1983","Anas crecca",26487.5
"179","1984","Anas crecca",8450
"180","1985","Anas crecca",2518.75
"181","1986","Anas crecca",6093.75
"182","1987","Anas crecca",731.25
"183","1988","Anas crecca",3493.75
"184","1989","Anas crecca",4387.5
"185","1990","Anas crecca",2843.75
"186","1991","Anas crecca",3006.25
"187","1992","Anas crecca",3412.5
"188","1993","Anas crecca",3981.25
"189","1994","Anas crecca",3575
"190","1995","Anas crecca",2762.5
"191","1996","Anas crecca",1381.25
"192","1997","Anas crecca",6418.75
"193","1998","Anas crecca",8287.5
"194","1999","Anas crecca",2437.5
"195","2000","Anas crecca",3575
"196","2001","Anas crecca",5362.5
"197","2002","Anas crecca",6337.5
"198","2003","Anas crecca",1543.75
"199","2004","Anas crecca",7637.5
"200","2005","Anas crecca",650
"201","2006","Anas crecca",2193.75
"202","2007","Anas crecca",4225
"203","2008","Anas crecca",1381.25
"204","2009","Anas crecca",6825
"205","2010","Anas crecca",5606.25
"206","2011","Anas crecca",2356.25
"207","2012","Anas crecca",6662.5
"208","2013","Anas crecca",12918.75
"209","2014","Anas crecca",3087.5
"210","2015","Anas crecca",2518.75
"211","1981","Aythya ferina",12325
"212","1982","Aythya ferina",6375
"213","1983","Aythya ferina",7437.5
"214","1984","Aythya ferina",9987.5
"215","1985","Aythya ferina",6800
"216","1986","Aythya ferina",9350
"217","1987","Aythya ferina",3400
"218","1988","Aythya ferina",5312.5
"219","1989","Aythya ferina",12112.5
"220","1990","Aythya ferina",4675
"221","1991","Aythya ferina",5100
"222","1992","Aythya ferina",6587.5
"223","1993","Aythya ferina",8925
"224","1994","Aythya ferina",5312.5
"225","1995","Aythya ferina",5312.5
"226","1996","Aythya ferina",9987.5
"227","1997","Aythya ferina",2975
"228","1998","Aythya ferina",5950
"229","1999","Aythya ferina",9350
"230","2000","Aythya ferina",4250
"231","2001","Aythya ferina",13175
"232","2002","Aythya ferina",2975
"233","2003","Aythya ferina",12962.5
"234","2004","Aythya ferina",6162.5
"235","2005","Aythya ferina",637.5
"236","2006","Aythya ferina",10412.5
"237","2007","Aythya ferina",2762.5
"238","2008","Aythya ferina",0
"239","2009","Aythya ferina",1275
"240","2010","Aythya ferina",212.5
"241","2011","Aythya ferina",0
"242","2012","Aythya ferina",1275
"243","2013","Aythya ferina",425
"244","2014","Aythya ferina",1062.5
"245","2015","Aythya ferina",0
"246","1981","Aythya fuligula",3443.75
"247","1982","Aythya fuligula",2900
"248","1983","Aythya fuligula",2537.5
"249","1984","Aythya fuligula",2718.75
"250","1985","Aythya fuligula",5618.75
"251","1986","Aythya fuligula",3806.25
"252","1987","Aythya fuligula",1268.75
"253","1988","Aythya fuligula",3806.25
"254","1989","Aythya fuligula",2175
"255","1990","Aythya fuligula",543.75
"256","1991","Aythya fuligula",0
"257","1992","Aythya fuligula",362.5
"258","1993","Aythya fuligula",1631.25
"259","1994","Aythya fuligula",1087.5
"260","1995","Aythya fuligula",543.75
"261","1996","Aythya fuligula",543.75
"262","1997","Aythya fuligula",1993.75
"263","1998","Aythya fuligula",725
"264","1999","Aythya fuligula",0
"265","2000","Aythya fuligula",2175
"266","2001","Aythya fuligula",0
"267","2002","Aythya fuligula",0
"268","2003","Aythya fuligula",1450
"269","2004","Aythya fuligula",0
"270","2005","Aythya fuligula",0
"271","2006","Aythya fuligula",0
"272","2007","Aythya fuligula",0
"273","2008","Aythya fuligula",0
"274","2009","Aythya fuligula",0
"275","2010","Aythya fuligula",0
"276","2011","Aythya fuligula",0
"277","2012","Aythya fuligula",181.25
"278","2013","Aythya fuligula",0
"279","2014","Aythya fuligula",0
"280","2015","Aythya fuligula",362.5
"281","1981","Netta rufina",3162.5
"282","1982","Netta rufina",1150
"283","1983","Netta rufina",4025
"284","1984","Netta rufina",6900
"285","1985","Netta rufina",3450
"286","1986","Netta rufina",4600
"287","1987","Netta rufina",3162.5
"288","1988","Netta rufina",2300
"289","1989","Netta rufina",22137.5
"290","1990","Netta rufina",4887.5
"291","1991","Netta rufina",8050
"292","1992","Netta rufina",1725
"293","1993","Netta rufina",5462.5
"294","1994","Netta rufina",12075
"295","1995","Netta rufina",2300
"296","1996","Netta rufina",0
"297","1997","Netta rufina",0
"298","1998","Netta rufina",0
"299","1999","Netta rufina",0
"300","2000","Netta rufina",0
"301","2001","Netta rufina",0
"302","2002","Netta rufina",0
"303","2003","Netta rufina",0
"304","2004","Netta rufina",0
"305","2005","Netta rufina",0
"306","2006","Netta rufina",0
"307","2007","Netta rufina",0
"308","2008","Netta rufina",0
"309","2009","Netta rufina",0
"310","2010","Netta rufina",0
"311","2011","Netta rufina",0
"312","2012","Netta rufina",0
"313","2013","Netta rufina",0
"314","2014","Netta rufina",0
"315","2015","Netta rufina",0
"316","1981","Tadorna tadorna",3093.75
"317","1982","Tadorna tadorna",13781.25
"318","1983","Tadorna tadorna",21656.25
"319","1984","Tadorna tadorna",25875
"320","1985","Tadorna tadorna",22218.75
"321","1986","Tadorna tadorna",30656.25
"322","1987","Tadorna tadorna",281.25
"323","1988","Tadorna tadorna",16875
"324","1989","Tadorna tadorna",40500
"325","1990","Tadorna tadorna",14062.5
"326","1991","Tadorna tadorna",27843.75
"327","1992","Tadorna tadorna",17718.75
"328","1993","Tadorna tadorna",19406.25
"329","1994","Tadorna tadorna",14906.25
"330","1995","Tadorna tadorna",22218.75
"331","1996","Tadorna tadorna",18562.5
"332","1997","Tadorna tadorna",17718.75
"333","1998","Tadorna tadorna",9843.75
"334","1999","Tadorna tadorna",45562.5
"335","2000","Tadorna tadorna",46968.75
"336","2001","Tadorna tadorna",19687.5
"337","2002","Tadorna tadorna",24750
"338","2003","Tadorna tadorna",32062.5
"339","2004","Tadorna tadorna",78187.5
"340","2005","Tadorna tadorna",27000
"341","2006","Tadorna tadorna",79312.5
"342","2007","Tadorna tadorna",37687.5
"343","2008","Tadorna tadorna",30093.75
"344","2009","Tadorna tadorna",42750
"345","2010","Tadorna tadorna",46406.25
"346","2011","Tadorna tadorna",71718.75
"347","2012","Tadorna tadorna",115593.75
"348","2013","Tadorna tadorna",114750
"349","2014","Tadorna tadorna",94500
"350","2015","Tadorna tadorna",129375
"351","1981","Fulica atra",135287.5
"352","1982","Fulica atra",212350
"353","1983","Fulica atra",305167.5
"354","1984","Fulica atra",177757.5
"355","1985","Fulica atra",198821.25
"356","1986","Fulica atra",192313.75
"357","1987","Fulica atra",63362.5
"358","1988","Fulica atra",166968.75
"359","1989","Fulica atra",354487.5
"360","1990","Fulica atra",159262.5
"361","1991","Fulica atra",118162.5
"362","1992","Fulica atra",235468.75
"363","1993","Fulica atra",342842.5
"364","1994","Fulica atra",481212.5
"365","1995","Fulica atra",413568.75
"366","1996","Fulica atra",335650
"367","1997","Fulica atra",203445
"368","1998","Fulica atra",210808.75
"369","1999","Fulica atra",225022.5
"370","2000","Fulica atra",385826.25
"371","2001","Fulica atra",579167.5
"372","2002","Fulica atra",426412.5
"373","2003","Fulica atra",487035
"374","2004","Fulica atra",338390
"375","2005","Fulica atra",228618.75
"376","2006","Fulica atra",290268.75
"377","2007","Fulica atra",243517.5
"378","2008","Fulica atra",307393.75
"379","2009","Fulica atra",303455
"380","2010","Fulica atra",327258.75
"381","2011","Fulica atra",298146.25
"382","2012","Fulica atra",230845
"383","2013","Fulica atra",282562.5
"384","2014","Fulica atra",141110
"385","2015","Fulica atra",151727.5
"386","1981","Ardea cinerea",27000
"387","1982","Ardea cinerea",98250
"388","1983","Ardea cinerea",159000
"389","1984","Ardea cinerea",338625
"390","1985","Ardea cinerea",401625
"391","1986","Ardea cinerea",397500
"392","1987","Ardea cinerea",30750
"393","1988","Ardea cinerea",675000
"394","1989","Ardea cinerea",667500
"395","1990","Ardea cinerea",706875
"396","1991","Ardea cinerea",532500
"397","1992","Ardea cinerea",562500
"398","1993","Ardea cinerea",611250
"399","1994","Ardea cinerea",603750
"400","1995","Ardea cinerea",513750
"401","1996","Ardea cinerea",502500
"402","1997","Ardea cinerea",481125
"403","1998","Ardea cinerea",536250
"404","1999","Ardea cinerea",225375
"405","2000","Ardea cinerea",470625
"406","2001","Ardea cinerea",214500
"407","2002","Ardea cinerea",281250
"408","2003","Ardea cinerea",345375
"409","2004","Ardea cinerea",179250
"410","2005","Ardea cinerea",95250
"411","2006","Ardea cinerea",92625
"412","2007","Ardea cinerea",37875
"413","2008","Ardea cinerea",18750
"414","2009","Ardea cinerea",37125
"415","2010","Ardea cinerea",23250
"416","2011","Ardea cinerea",11250
"417","2012","Ardea cinerea",14250
"418","2013","Ardea cinerea",23625
"419","2014","Ardea cinerea",13125
"420","2015","Ardea cinerea",13875
"421","1981","Nycticorax nycticorax",11687.5
"422","1982","Nycticorax nycticorax",27412.5
"423","1983","Nycticorax nycticorax",17425
"424","1984","Nycticorax nycticorax",7650
"425","1985","Nycticorax nycticorax",21675
"426","1986","Nycticorax nycticorax",12325
"427","1987","Nycticorax nycticorax",1275
"428","1988","Nycticorax nycticorax",10200
"429","1989","Nycticorax nycticorax",17425
"430","1990","Nycticorax nycticorax",6800
"431","1991","Nycticorax nycticorax",3612.5
"432","1992","Nycticorax nycticorax",4675
"433","1993","Nycticorax nycticorax",5100
"434","1994","Nycticorax nycticorax",7650
"435","1995","Nycticorax nycticorax",8500
"436","1996","Nycticorax nycticorax",5525
"437","1997","Nycticorax nycticorax",12325
"438","1998","Nycticorax nycticorax",6375
"439","1999","Nycticorax nycticorax",23162.5
"440","2000","Nycticorax nycticorax",6587.5
"441","2001","Nycticorax nycticorax",28687.5
"442","2002","Nycticorax nycticorax",11050
"443","2003","Nycticorax nycticorax",5950
"444","2004","Nycticorax nycticorax",8075
"445","2005","Nycticorax nycticorax",9350
"446","2006","Nycticorax nycticorax",5312.5
"447","2007","Nycticorax nycticorax",3612.5
"448","2008","Nycticorax nycticorax",1275
"449","2009","Nycticorax nycticorax",3187.5
"450","2010","Nycticorax nycticorax",2125
"451","2011","Nycticorax nycticorax",425
"452","2012","Nycticorax nycticorax",2975
"453","2013","Nycticorax nycticorax",5950
"454","2014","Nycticorax nycticorax",4462.5
"455","2015","Nycticorax nycticorax",2762.5
"456","1981","Phalacrocorax carbo",11812.5
"457","1982","Phalacrocorax carbo",9450
"458","1983","Phalacrocorax carbo",44887.5
"459","1984","Phalacrocorax carbo",61425
"460","1985","Phalacrocorax carbo",13387.5
"461","1986","Phalacrocorax carbo",3937.5
"462","1987","Phalacrocorax carbo",2362.5
"463","1988","Phalacrocorax carbo",72450
"464","1989","Phalacrocorax carbo",149625
"465","1990","Phalacrocorax carbo",289800
"466","1991","Phalacrocorax carbo",245700
"467","1992","Phalacrocorax carbo",322087.5
"468","1993","Phalacrocorax carbo",701662.5
"469","1994","Phalacrocorax carbo",351225
"470","1995","Phalacrocorax carbo",218925
"471","1996","Phalacrocorax carbo",451237.5
"472","1997","Phalacrocorax carbo",574875
"473","1998","Phalacrocorax carbo",1089900
"474","1999","Phalacrocorax carbo",1082812.5
"475","2000","Phalacrocorax carbo",1234800
"476","2001","Phalacrocorax carbo",1278900
"477","2002","Phalacrocorax carbo",1108800
"478","2003","Phalacrocorax carbo",1420650
"479","2004","Phalacrocorax carbo",963112.5
"480","2005","Phalacrocorax carbo",491400
"481","2006","Phalacrocorax carbo",1293075
"482","2007","Phalacrocorax carbo",972562.5
"483","2008","Phalacrocorax carbo",435487.5
"484","2009","Phalacrocorax carbo",170100
"485","2010","Phalacrocorax carbo",163800
"486","2011","Phalacrocorax carbo",59062.5
"487","2012","Phalacrocorax carbo",168525
"488","2013","Phalacrocorax carbo",222075
"489","2014","Phalacrocorax carbo",198450
"490","2015","Phalacrocorax carbo",87412.5
"491","1981","Pluvialis squatarola",461.25
"492","1982","Pluvialis squatarola",1127.5
"493","1983","Pluvialis squatarola",5073.75
"494","1984","Pluvialis squatarola",11531.25
"495","1985","Pluvialis squatarola",2716.25
"496","1986","Pluvialis squatarola",2306.25
"497","1987","Pluvialis squatarola",410
"498","1988","Pluvialis squatarola",0
"499","1989","Pluvialis squatarola",205
"500","1990","Pluvialis squatarola",922.5
"501","1991","Pluvialis squatarola",5227.5
"502","1992","Pluvialis squatarola",256.25
"503","1993","Pluvialis squatarola",973.75
"504","1994","Pluvialis squatarola",512.5
"505","1995","Pluvialis squatarola",7995
"506","1996","Pluvialis squatarola",6611.25
"507","1997","Pluvialis squatarola",0
"508","1998","Pluvialis squatarola",0
"509","1999","Pluvialis squatarola",3331.25
"510","2000","Pluvialis squatarola",922.5
"511","2001","Pluvialis squatarola",205
"512","2002","Pluvialis squatarola",615
"513","2003","Pluvialis squatarola",205
"514","2004","Pluvialis squatarola",358.75
"515","2005","Pluvialis squatarola",0
"516","2006","Pluvialis squatarola",0
"517","2007","Pluvialis squatarola",1127.5
"518","2008","Pluvialis squatarola",9225
"519","2009","Pluvialis squatarola",1947.5
"520","2010","Pluvialis squatarola",3485
"521","2011","Pluvialis squatarola",6713.75
"522","2012","Pluvialis squatarola",26803.75
"523","2013","Pluvialis squatarola",20192.5
"524","2014","Pluvialis squatarola",24856.25
"525","2015","Pluvialis squatarola",27572.5
"526","1981","Charadrius hiaticula",3055
"527","1982","Charadrius hiaticula",471.25
"528","1983","Charadrius hiaticula",5947.5
"529","1984","Charadrius hiaticula",5655
"530","1985","Charadrius hiaticula",796.25
"531","1986","Charadrius hiaticula",1300
"532","1987","Charadrius hiaticula",1153.75
"533","1988","Charadrius hiaticula",1056.25
"534","1989","Charadrius hiaticula",1430
"535","1990","Charadrius hiaticula",2405
"536","1991","Charadrius hiaticula",3883.75
"537","1992","Charadrius hiaticula",1267.5
"538","1993","Charadrius hiaticula",357.5
"539","1994","Charadrius hiaticula",1251.25
"540","1995","Charadrius hiaticula",1771.25
"541","1996","Charadrius hiaticula",1673.75
"542","1997","Charadrius hiaticula",520
"543","1998","Charadrius hiaticula",0
"544","1999","Charadrius hiaticula",2193.75
"545","2000","Charadrius hiaticula",1560
"546","2001","Charadrius hiaticula",991.25
"547","2002","Charadrius hiaticula",1300
"548","2003","Charadrius hiaticula",1462.5
"549","2004","Charadrius hiaticula",178.75
"550","2005","Charadrius hiaticula",0
"551","2006","Charadrius hiaticula",113.75
"552","2007","Charadrius hiaticula",8888.75
"553","2008","Charadrius hiaticula",6272.5
"554","2009","Charadrius hiaticula",3217.5
"555","2010","Charadrius hiaticula",17468.75
"556","2011","Charadrius hiaticula",10010
"557","2012","Charadrius hiaticula",9327.5
"558","2013","Charadrius hiaticula",6077.5
"559","2014","Charadrius hiaticula",15470
"560","2015","Charadrius hiaticula",3006.25
"561","1981","Gallinago gallinago",125
"562","1982","Gallinago gallinago",75
"563","1983","Gallinago gallinago",175
"564","1984","Gallinago gallinago",125
"565","1985","Gallinago gallinago",175
"566","1986","Gallinago gallinago",100
"567","1987","Gallinago gallinago",25
"568","1988","Gallinago gallinago",275
"569","1989","Gallinago gallinago",25
"570","1990","Gallinago gallinago",0
"571","1991","Gallinago gallinago",0
"572","1992","Gallinago gallinago",0
"573","1993","Gallinago gallinago",0
"574","1994","Gallinago gallinago",0
"575","1995","Gallinago gallinago",0
"576","1996","Gallinago gallinago",0
"577","1997","Gallinago gallinago",0
"578","1998","Gallinago gallinago",0
"579","1999","Gallinago gallinago",0
"580","2000","Gallinago gallinago",0
"581","2001","Gallinago gallinago",1025
"582","2002","Gallinago gallinago",0
"583","2003","Gallinago gallinago",0
"584","2004","Gallinago gallinago",0
"585","2005","Gallinago gallinago",0
"586","2006","Gallinago gallinago",0
"587","2007","Gallinago gallinago",225
"588","2008","Gallinago gallinago",0
"589","2009","Gallinago gallinago",0
"590","2010","Gallinago gallinago",25
"591","2011","Gallinago gallinago",0
"592","2012","Gallinago gallinago",75
"593","2013","Gallinago gallinago",450
"594","2014","Gallinago gallinago",150
"595","2015","Gallinago gallinago",75
"596","1981","Numenius arquata",229.375
"597","1982","Numenius arquata",0
"598","1983","Numenius arquata",229.375
"599","1984","Numenius arquata",229.375
"600","1985","Numenius arquata",0
"601","1986","Numenius arquata",0
"602","1987","Numenius arquata",0
"603","1988","Numenius arquata",229.375
"604","1989","Numenius arquata",229.375
"605","1990","Numenius arquata",0
"606","1991","Numenius arquata",0
"607","1992","Numenius arquata",0
"608","1993","Numenius arquata",0
"609","1994","Numenius arquata",0
"610","1995","Numenius arquata",1146.875
"611","1996","Numenius arquata",229.375
"612","1997","Numenius arquata",0
"613","1998","Numenius arquata",0
"614","1999","Numenius arquata",0
"615","2000","Numenius arquata",0
"616","2001","Numenius arquata",0
"617","2002","Numenius arquata",0
"618","2003","Numenius arquata",0
"619","2004","Numenius arquata",0
"620","2005","Numenius arquata",0
"621","2006","Numenius arquata",0
"622","2007","Numenius arquata",2064.375
"623","2008","Numenius arquata",29130.625
"624","2009","Numenius arquata",458.75
"625","2010","Numenius arquata",3440.625
"626","2011","Numenius arquata",0
"627","2012","Numenius arquata",228686.875
"628","2013","Numenius arquata",336951.875
"629","2014","Numenius arquata",454391.875
"630","2015","Numenius arquata",380762.5
"631","1981","Tringa nebularia",102.5
"632","1982","Tringa nebularia",461.25
"633","1983","Tringa nebularia",205
"634","1984","Tringa nebularia",153.75
"635","1985","Tringa nebularia",153.75
"636","1986","Tringa nebularia",205
"637","1987","Tringa nebularia",51.25
"638","1988","Tringa nebularia",0
"639","1989","Tringa nebularia",256.25
"640","1990","Tringa nebularia",256.25
"641","1991","Tringa nebularia",153.75
"642","1992","Tringa nebularia",0
"643","1993","Tringa nebularia",102.5
"644","1994","Tringa nebularia",205
"645","1995","Tringa nebularia",51.25
"646","1996","Tringa nebularia",153.75
"647","1997","Tringa nebularia",102.5
"648","1998","Tringa nebularia",51.25
"649","1999","Tringa nebularia",768.75
"650","2000","Tringa nebularia",205
"651","2001","Tringa nebularia",1640
"652","2002","Tringa nebularia",1640
"653","2003","Tringa nebularia",358.75
"654","2004","Tringa nebularia",307.5
"655","2005","Tringa nebularia",0
"656","2006","Tringa nebularia",51.25
"657","2007","Tringa nebularia",5330
"658","2008","Tringa nebularia",3587.5
"659","2009","Tringa nebularia",7226.25
"660","2010","Tringa nebularia",5535
"661","2011","Tringa nebularia",10147.5
"662","2012","Tringa nebularia",8097.5
"663","2013","Tringa nebularia",10865
"664","2014","Tringa nebularia",7636.25
"665","2015","Tringa nebularia",5996.25
"666","1981","Calidris canutus",0
"667","1982","Calidris canutus",42.5
"668","1983","Calidris canutus",6417.5
"669","1984","Calidris canutus",15130
"670","1985","Calidris canutus",2422.5
"671","1986","Calidris canutus",255
"672","1987","Calidris canutus",0
"673","1988","Calidris canutus",127.5
"674","1989","Calidris canutus",0
"675","1990","Calidris canutus",127.5
"676","1991","Calidris canutus",0
"677","1992","Calidris canutus",0
"678","1993","Calidris canutus",0
"679","1994","Calidris canutus",510
"680","1995","Calidris canutus",1147.5
"681","1996","Calidris canutus",1062.5
"682","1997","Calidris canutus",0
"683","1998","Calidris canutus",0
"684","1999","Calidris canutus",637.5
"685","2000","Calidris canutus",0
"686","2001","Calidris canutus",935
"687","2002","Calidris canutus",0
"688","2003","Calidris canutus",0
"689","2004","Calidris canutus",0
"690","2005","Calidris canutus",0
"691","2006","Calidris canutus",0
"692","2007","Calidris canutus",6035
"693","2008","Calidris canutus",2720
"694","2009","Calidris canutus",1530
"695","2010","Calidris canutus",892.5
"696","2011","Calidris canutus",765
"697","2012","Calidris canutus",2465
"698","2013","Calidris canutus",4845
"699","2014","Calidris canutus",10455
"700","2015","Calidris canutus",1742.5
"701","1981","Calidris alpina",10406.25
"702","1982","Calidris alpina",4016.25
"703","1983","Calidris alpina",11385
"704","1984","Calidris alpina",18731.25
"705","1985","Calidris alpina",13421.25
"706","1986","Calidris alpina",9945
"707","1987","Calidris alpina",1912.5
"708","1988","Calidris alpina",6795
"709","1989","Calidris alpina",4702.5
"710","1990","Calidris alpina",7695
"711","1991","Calidris alpina",5287.5
"712","1992","Calidris alpina",12521.25
"713","1993","Calidris alpina",787.5
"714","1994","Calidris alpina",13320
"715","1995","Calidris alpina",6468.75
"716","1996","Calidris alpina",16425
"717","1997","Calidris alpina",2362.5
"718","1998","Calidris alpina",483.75
"719","1999","Calidris alpina",5850
"720","2000","Calidris alpina",967.5
"721","2001","Calidris alpina",2970
"722","2002","Calidris alpina",843.75
"723","2003","Calidris alpina",1012.5
"724","2004","Calidris alpina",1372.5
"725","2005","Calidris alpina",0
"726","2006","Calidris alpina",258.75
"727","2007","Calidris alpina",17178.75
"728","2008","Calidris alpina",18405
"729","2009","Calidris alpina",7031.25
"730","2010","Calidris alpina",31263.75
"731","2011","Calidris alpina",13128.75
"732","2012","Calidris alpina",16278.75
"733","2013","Calidris alpina",29767.5
"734","2014","Calidris alpina",34683.75
"735","2015","Calidris alpina",8100
"736","1981","Anas querquedula",877.5
"737","1982","Anas querquedula",390
"738","1983","Anas querquedula",780
"739","1984","Anas querquedula",585
"740","1985","Anas querquedula",780
"741","1986","Anas querquedula",195
"742","1987","Anas querquedula",0
"743","1988","Anas querquedula",877.5
"744","1989","Anas querquedula",195
"745","1990","Anas querquedula",0
"746","1991","Anas querquedula",97.5
"747","1992","Anas querquedula",975
"748","1993","Anas querquedula",195
"749","1994","Anas querquedula",682.5
"750","1995","Anas querquedula",585
"751","1996","Anas querquedula",390
"752","1997","Anas querquedula",975
"753","1998","Anas querquedula",0
"754","1999","Anas querquedula",585
"755","2000","Anas querquedula",877.5
"756","2001","Anas querquedula",975
"757","2002","Anas querquedula",390
"758","2003","Anas querquedula",0
