"Date";"Species";"Abundance"
"2007";"Calidris";"24125.25"
"2008";"Calidris";"21705.625"
"2009";"Calidris";"8870"
"2010";"Calidris";"32745.875"
"2011";"Calidris";"14435.875"
"2012";"Calidris";"19715.5"
"2013";"Calidris";"35887.875"
"2014";"Calidris";"46408.5"
"2015";"Calidris";"10599.375"
"2016";"Calidris";NA
"1981";"Waders";"303"
"1982";"Waders";"124"
"1983";"Waders";"445.25"
"1984";"Waders";"745.25"
"1985";"Waders";"422.75"
"1986";"Waders";"276"
"1987";"Waders";"135.75"
"1988";"Waders";"198"
"1989";"Waders";"169"
"1990";"Waders";"256.5"
"1991";"Waders";"227.25"
"1992";"Waders";"341.75"
"1993";"Waders";"57.75"
"1994";"Waders";"459.75"
"1995";"Waders";"254.25"
"1996";"Waders";"459.75"
"1997";"Waders";"88.5"
"1998";"Waders";"13.25"
"1999";"Waders";"221"
"2000";"Waders";"69.25"
"2001";"Waders";"131.75"
"2002";"Waders";"78.25"
"2003";"Waders";"104"
"2004";"Waders";"75.25"
"2005";"Waders";"2.75"
"2006";"Waders";"33"
"2007";"Waders";"840.75"
"2008";"Waders";"897.5"
"2009";"Waders";"606"
"2010";"Waders";"1374.5"
"2011";"Waders";"1036.5"
"2012";"Waders";"1748.75"
"2013";"Waders";"2179.75"
"2014";"Waders";"2449.25"
"2015";"Waders";"1574.25"
"2016";"Waders";NA
"1981";"Ducks";"414338.125"
"1982";"Ducks";"702229.375"
"1983";"Ducks";"1241011.875"
"1984";"Ducks";"1101515"
"1985";"Ducks";"1922928.75"
"1986";"Ducks";"2253016.875"
"1987";"Ducks";"1182431.25"
"1988";"Ducks";"1422540"
"1989";"Ducks";"1685528.75"
"1990";"Ducks";"1403213.125"
"1991";"Ducks";"1535381.25"
"1992";"Ducks";"1480964.375"
"1993";"Ducks";"1622366.25"
"1994";"Ducks";"1539977.5"
"1995";"Ducks";"1462853.75"
"1996";"Ducks";"1646003.125"
"1997";"Ducks";"999213.75"
"1998";"Ducks";"983802.5"
"1999";"Ducks";"1022113.75"
"2000";"Ducks";"1527128.75"
"2001";"Ducks";"1905467.5"
"2002";"Ducks";"1488115"
"2003";"Ducks";"1279960"
"2004";"Ducks";"1498343.75"
"2005";"Ducks";"809243.75"
"2006";"Ducks";"1027581.25"
"2007";"Ducks";"787230"
"2008";"Ducks";"667938.75"
"2009";"Ducks";"664310"
"2010";"Ducks";"697096.25"
"2011";"Ducks";"768640"
"2012";"Ducks";"1074042.5"
"2013";"Ducks";"1400191.875"
"2014";"Ducks";"826536.25"
"2015";"Ducks";"754833.75"
"2016";"Ducks";NA
"1981";"Tringa";"941.875"
"1982";"Tringa";"2130"
"1983";"Tringa";"2145.625"
"1984";"Tringa";"7139.375"
"1985";"Tringa";"7783.125"
"1986";"Tringa";"838.125"
"1987";"Tringa";"436.875"
"1988";"Tringa";"2390"
"1989";"Tringa";"2088.75"
"1990";"Tringa";"2591.25"
"1991";"Tringa";"1039.375"
"1992";"Tringa";"2603.125"
"1993";"Tringa";"1381.875"
"1994";"Tringa";"12017.5"
"1995";"Tringa";"1204.375"
"1996";"Tringa";"1650.625"
"1997";"Tringa";"1871.25"
"1998";"Tringa";"248.125"
"1999";"Tringa";"2508.75"
"2000";"Tringa";"2424.375"
"2001";"Tringa";"2091.875"
"2002";"Tringa";"2680.625"
"2003";"Tringa";"6524.375"
"2004";"Tringa";"1660"
"2005";"Tringa";"40"
"2006";"Tringa";"618.75"
"2007";"Tringa";"16737.5"
"2008";"Tringa";"20012.5"
"2009";"Tringa";"36776.875"
"2010";"Tringa";"35780"
"2011";"Tringa";"42858.125"
"2012";"Tringa";"73597.5"
"2013";"Tringa";"55927.5"
"2014";"Tringa";"49813.125"
"2015";"Tringa";"43478.75"
"2016";"Tringa";NA
"1981";"Freq";"545647.75"
"1982";"Freq";"972214.375"
"1983";"Freq";"1907889.375"
"1984";"Freq";"2413532.625"
"1985";"Freq";"3329956.25"
"1986";"Freq";"4125626.5"
"1987";"Freq";"1473656.25"
"1988";"Freq";"3597827.375"
"1989";"Freq";"3994437.375"
"1990";"Freq";"3928273.125"
"1991";"Freq";"3923760.25"
"1992";"Freq";"3582404.125"
"1993";"Freq";"4554796.5"
"1994";"Freq";"4471770.875"
"1995";"Freq";"4380261.5"
"1996";"Freq";"4773258.375"
"1997";"Freq";"4069216.25"
"1998";"Freq";"3875106.25"
"1999";"Freq";"4748446.5"
"2000";"Freq";"5212615.625"
"2001";"Freq";"5550826.25"
"2002";"Freq";"4381904"
"2003";"Freq";"5796732.75"
"2004";"Freq";"3925016.875"
"2005";"Freq";"2456577"
"2006";"Freq";"5322935.625"
"2007";"Freq";"3029331"
"2008";"Freq";"1541900.875"
"2009";"Freq";"1369109.125"
"2010";"Freq";"1215709.5"
"2011";"Freq";"1059222.625"
"2012";"Freq";"1623357.375"
"2013";"Freq";"2126274.125"
"2014";"Freq";"1459302.125"
"2015";"Freq";"1295033.75"
"2016";"Freq";NA
"1981";"Cormorant";"11812.5"
"1982";"Cormorant";"9450"
"1983";"Cormorant";"44887.5"
"1984";"Cormorant";"61425"
"1985";"Cormorant";"13387.5"
"1986";"Cormorant";"3937.5"
"1987";"Cormorant";"2362.5"
"1988";"Cormorant";"72450"
"1989";"Cormorant";"149625"
"1990";"Cormorant";"289800"
"1991";"Cormorant";"245700"
"1992";"Cormorant";"322087.5"
"1993";"Cormorant";"701662.5"
"1994";"Cormorant";"351225"
"1995";"Cormorant";"218925"
"1996";"Cormorant";"451237.5"
"1997";"Cormorant";"574875"
"1998";"Cormorant";"1089900"
"1999";"Cormorant";"1082812.5"
"2000";"Cormorant";"1234800"
"2001";"Cormorant";"1278900"
"2002";"Cormorant";"1108800"
"2003";"Cormorant";"1420650"
"2004";"Cormorant";"963112.5"
"2005";"Cormorant";"491400"
"2006";"Cormorant";"1293075"
"2007";"Cormorant";"972562.5"
"2008";"Cormorant";"435487.5"
"2009";"Cormorant";"170100"
"2010";"Cormorant";"163800"
"2011";"Cormorant";"59062.5"
"2012";"Cormorant";"168525"
"2013";"Cormorant";"222075"
"2014";"Cormorant";"198450"
"2015";"Cormorant";"87412.5"
"2016";"Cormorant";NA
"1981";"HeronEgret";"49500"
"1982";"HeronEgret";"173125"
"1983";"HeronEgret";"309625"
"1984";"HeronEgret";"759875"
"1985";"HeronEgret";"738500"
"1986";"HeronEgret";"1103750"
"1987";"HeronEgret";"102000"
"1988";"HeronEgret";"1393750"
"1989";"HeronEgret";"1686250"
"1990";"HeronEgret";"1776875"
"1991";"HeronEgret";"1445000"
"1992";"HeronEgret";"1233750"
"1993";"HeronEgret";"1350000"
"1994";"HeronEgret";"1325000"
"1995";"HeronEgret";"1247500"
"1996";"HeronEgret";"1387500"
"1997";"HeronEgret";"1049875"
"1998";"HeronEgret";"701250"
"1999";"HeronEgret";"540375"
"2000";"HeronEgret";"829375"
"2001";"HeronEgret";"433250"
"2002";"HeronEgret";"472500"
"2003";"HeronEgret";"630375"
"2004";"HeronEgret";"231750"
"2005";"HeronEgret";"142750"
"2006";"HeronEgret";"191375"
"2007";"HeronEgret";"105875"
"2008";"HeronEgret";"77000"
"2009";"HeronEgret";"91375"
"2010";"HeronEgret";"99375"
"2011";"HeronEgret";"52875"
"2012";"HeronEgret";"80125"
"2013";"HeronEgret";"104375"
"2014";"HeronEgret";"123500"
"2015";"HeronEgret";"1e+05"
"2016";"HeronEgret";NA
