"","dates","sp_all","abundance_cold"
"320","1985","Tringa nebularia",0
"321","1986","Tringa nebularia",0
"322","1987","Tringa nebularia",153.75
"323","1988","Tringa nebularia",0
"324","1989","Tringa nebularia",0
"325","1990","Tringa nebularia",0
"326","1991","Tringa nebularia",0
"327","1992","Tringa nebularia",0
"328","1993","Tringa nebularia",0
"329","1994","Tringa nebularia",0
"330","1995","Tringa nebularia",0
"331","1996","Tringa nebularia",0
"332","1997","Tringa nebularia",461.25
"333","1998","Tringa nebularia",256.25
"334","1999","Tringa nebularia",0
"335","2000","Tringa nebularia",922.5
"336","2001","Tringa nebularia",2101.25
"337","2002","Tringa nebularia",1845
"338","2003","Tringa nebularia",256.25
"339","2004","Tringa nebularia",410
"340","2005","Tringa nebularia",51.25
"341","2006","Tringa nebularia",51.25
"342","2007","Tringa nebularia",2152.5
"343","2008","Tringa nebularia",3741.25
"344","2009","Tringa nebularia",666.25
"345","2010","Tringa nebularia",1127.5
"346","2011","Tringa nebularia",3023.75
"347","2012","Tringa nebularia",3843.75
"348","2013","Tringa nebularia",2665
"349","2014","Tringa nebularia",1640
"350","2015","Tringa nebularia",358.75
"351","1981","Tringa erythropus",0
"352","1982","Tringa erythropus",273.75
"353","1983","Tringa erythropus",821.25
"354","1984","Tringa erythropus",0
"355","1985","Tringa erythropus",0
"356","1986","Tringa erythropus",0
"357","1987","Tringa erythropus",684.375
"358","1988","Tringa erythropus",0
"359","1989","Tringa erythropus",3695.625
"360","1990","Tringa erythropus",273.75
"361","1991","Tringa erythropus",0
"362","1992","Tringa erythropus",0
"363","1993","Tringa erythropus",730
"364","1994","Tringa erythropus",2600.625
"365","1995","Tringa erythropus",0
"366","1996","Tringa erythropus",1186.25
"367","1997","Tringa erythropus",1095
"368","1998","Tringa erythropus",6296.25
"369","1999","Tringa erythropus",4060.625
"370","2000","Tringa erythropus",2920
"371","2001","Tringa erythropus",1140.625
"372","2002","Tringa erythropus",2920
"373","2003","Tringa erythropus",912.5
"374","2004","Tringa erythropus",0
"375","2005","Tringa erythropus",684.375
"376","2006","Tringa erythropus",684.375
"377","2007","Tringa erythropus",3330.625
"378","2008","Tringa erythropus",228.125
"379","2009","Tringa erythropus",45.625
"380","2010","Tringa erythropus",136.875
"381","2011","Tringa erythropus",1460
"382","2012","Tringa erythropus",3376.25
"383","2013","Tringa erythropus",6205
"384","2014","Tringa erythropus",7026.25
"385","2015","Tringa erythropus",4562.5
"386","1981","Tringa ochropus",0
"387","1982","Tringa ochropus",0
"388","1983","Tringa ochropus",0
"389","1984","Tringa ochropus",0
"390","1985","Tringa ochropus",0
"391","1986","Tringa ochropus",0
"392","1987","Tringa ochropus",0
"393","1988","Tringa ochropus",0
"394","1989","Tringa ochropus",0
"395","1990","Tringa ochropus",0
"396","1991","Tringa ochropus",0
"397","1992","Tringa ochropus",0
"398","1993","Tringa ochropus",0
"399","1994","Tringa ochropus",0
"400","1995","Tringa ochropus",0
"401","1996","Tringa ochropus",0
"402","1997","Tringa ochropus",0
"403","1998","Tringa ochropus",0
"404","1999","Tringa ochropus",0
"405","2000","Tringa ochropus",0
"406","2001","Tringa ochropus",0
"407","2002","Tringa ochropus",0
"408","2003","Tringa ochropus",0
"409","2004","Tringa ochropus",0
"410","2005","Tringa ochropus",0
"411","2006","Tringa ochropus",0
"412","2007","Tringa ochropus",40
"413","2008","Tringa ochropus",20
"414","2009","Tringa ochropus",220
"415","2010","Tringa ochropus",100
"416","2011","Tringa ochropus",20
"417","2012","Tringa ochropus",0
"418","2013","Tringa ochropus",80
"419","2014","Tringa ochropus",0
"420","2015","Tringa ochropus",0
"421","1981","Tringa totanus",331.25
"422","1982","Tringa totanus",33.125
"423","1983","Tringa totanus",298.125
"424","1984","Tringa totanus",0
"425","1985","Tringa totanus",99.375
"426","1986","Tringa totanus",0
"427","1987","Tringa totanus",165.625
"428","1988","Tringa totanus",0
"429","1989","Tringa totanus",132.5
"430","1990","Tringa totanus",0
"431","1991","Tringa totanus",0
"432","1992","Tringa totanus",0
"433","1993","Tringa totanus",33.125
"434","1994","Tringa totanus",0
"435","1995","Tringa totanus",0
"436","1996","Tringa totanus",0
"437","1997","Tringa totanus",0
"438","1998","Tringa totanus",265
"439","1999","Tringa totanus",0
"440","2000","Tringa totanus",33.125
"441","2001","Tringa totanus",0
"442","2002","Tringa totanus",165.625
"443","2003","Tringa totanus",265
"444","2004","Tringa totanus",132.5
"445","2005","Tringa totanus",132.5
"446","2006","Tringa totanus",132.5
"447","2007","Tringa totanus",828.125
"448","2008","Tringa totanus",397.5
"449","2009","Tringa totanus",828.125
"450","2010","Tringa totanus",1821.875
"451","2011","Tringa totanus",2815.625
"452","2012","Tringa totanus",2749.375
"453","2013","Tringa totanus",3113.75
"454","2014","Tringa totanus",3610.625
"455","2015","Tringa totanus",4902.5
"456","1981","Tringa glareola",0
"457","1982","Tringa glareola",0
"458","1983","Tringa glareola",0
"459","1984","Tringa glareola",0
"460","1985","Tringa glareola",0
"461","1986","Tringa glareola",0
"462","1987","Tringa glareola",0
"463","1988","Tringa glareola",0
"464","1989","Tringa glareola",0
"465","1990","Tringa glareola",0
"466","1991","Tringa glareola",0
"467","1992","Tringa glareola",0
"468","1993","Tringa glareola",0
"469","1994","Tringa glareola",0
"470","1995","Tringa glareola",0
"471","1996","Tringa glareola",0
"472","1997","Tringa glareola",0
"473","1998","Tringa glareola",0
"474","1999","Tringa glareola",0
"475","2000","Tringa glareola",35
"476","2001","Tringa glareola",0
"477","2002","Tringa glareola",0
"478","2003","Tringa glareola",0
"479","2004","Tringa glareola",0
"480","2005","Tringa glareola",0
"481","2006","Tringa glareola",0
"482","2007","Tringa glareola",0
"483","2008","Tringa glareola",0
"484","2009","Tringa glareola",0
"485","2010","Tringa glareola",0
"486","2011","Tringa glareola",0
"487","2012","Tringa glareola",0
"488","2013","Tringa glareola",0
"489","2014","Tringa glareola",0
"490","2015","Tringa glareola",0
"491","1981","Actitis hypoleucos",0
"492","1982","Actitis hypoleucos",0
"493","1983","Actitis hypoleucos",12.5
"494","1984","Actitis hypoleucos",0
"495","1985","Actitis hypoleucos",25
"496","1986","Actitis hypoleucos",0
"497","1987","Actitis hypoleucos",0
"498","1988","Actitis hypoleucos",0
"499","1989","Actitis hypoleucos",0
"500","1990","Actitis hypoleucos",0
"501","1991","Actitis hypoleucos",0
"502","1992","Actitis hypoleucos",0
"503","1993","Actitis hypoleucos",0
"504","1994","Actitis hypoleucos",0
"505","1995","Actitis hypoleucos",0
"506","1996","Actitis hypoleucos",12.5
"507","1997","Actitis hypoleucos",0
"508","1998","Actitis hypoleucos",25
"509","1999","Actitis hypoleucos",0
"510","2000","Actitis hypoleucos",87.5
"511","2001","Actitis hypoleucos",0
"512","2002","Actitis hypoleucos",75
"513","2003","Actitis hypoleucos",37.5
"514","2004","Actitis hypoleucos",0
"515","2005","Actitis hypoleucos",50
"516","2006","Actitis hypoleucos",50
"517","2007","Actitis hypoleucos",62.5
"518","2008","Actitis hypoleucos",12.5
"519","2009","Actitis hypoleucos",50
"520","2010","Actitis hypoleucos",100
"521","2011","Actitis hypoleucos",25
"522","2012","Actitis hypoleucos",0
"523","2013","Actitis hypoleucos",37.5
"524","2014","Actitis hypoleucos",62.5
"525","2015","Actitis hypoleucos",12.5
"526","1981","Philomachus pugnax",0
"527","1982","Philomachus pugnax",0
"528","1983","Philomachus pugnax",0
"529","1984","Philomachus pugnax",27.5
"530","1985","Philomachus pugnax",0
"531","1986","Philomachus pugnax",0
"532","1987","Philomachus pugnax",0
"533","1988","Philomachus pugnax",27.5
"534","1989","Philomachus pugnax",0
"535","1990","Philomachus pugnax",0
"536","1991","Philomachus pugnax",0
"537","1992","Philomachus pugnax",0
"538","1993","Philomachus pugnax",0
"539","1994","Philomachus pugnax",0
"540","1995","Philomachus pugnax",0
"541","1996","Philomachus pugnax",55
"542","1997","Philomachus pugnax",0
"543","1998","Philomachus pugnax",0
"544","1999","Philomachus pugnax",0
"545","2000","Philomachus pugnax",0
"546","2001","Philomachus pugnax",0
"547","2002","Philomachus pugnax",0
"548","2003","Philomachus pugnax",0
"549","2004","Philomachus pugnax",0
"550","2005","Philomachus pugnax",0
"551","2006","Philomachus pugnax",0
"552","2007","Philomachus pugnax",0
"553","2008","Philomachus pugnax",0
"554","2009","Philomachus pugnax",0
"555","2010","Philomachus pugnax",0
"556","2011","Philomachus pugnax",0
"557","2012","Philomachus pugnax",0
"558","2013","Philomachus pugnax",0
"559","2014","Philomachus pugnax",27.5
"560","2015","Philomachus pugnax",0
"561","1981","Numenius arquata",229.375
"562","1982","Numenius arquata",229.375
"563","1983","Numenius arquata",0
"564","1984","Numenius arquata",0
"565","1985","Numenius arquata",0
"566","1986","Numenius arquata",0
"567","1987","Numenius arquata",10321.875
"568","1988","Numenius arquata",0
"569","1989","Numenius arquata",1835
"570","1990","Numenius arquata",458.75
"571","1991","Numenius arquata",0
"572","1992","Numenius arquata",0
"573","1993","Numenius arquata",229.375
"574","1994","Numenius arquata",0
"575","1995","Numenius arquata",458.75
"576","1996","Numenius arquata",0
"577","1997","Numenius arquata",0
"578","1998","Numenius arquata",229.375
"579","1999","Numenius arquata",0
"580","2000","Numenius arquata",229.375
"581","2001","Numenius arquata",0
"582","2002","Numenius arquata",0
"583","2003","Numenius arquata",1605.625
"584","2004","Numenius arquata",0
"585","2005","Numenius arquata",0
"586","2006","Numenius arquata",0
"587","2007","Numenius arquata",5963.75
"588","2008","Numenius arquata",7110.625
"589","2009","Numenius arquata",61472.5
"590","2010","Numenius arquata",10780.625
"591","2011","Numenius arquata",269515.625
"592","2012","Numenius arquata",468383.75
"593","2013","Numenius arquata",561280.625
"594","2014","Numenius arquata",363100.625
"595","2015","Numenius arquata",476411.875
"596","1981","Numenius phaeopus",0
"597","1982","Numenius phaeopus",0
"598","1983","Numenius phaeopus",0
"599","1984","Numenius phaeopus",0
"600","1985","Numenius phaeopus",0
"601","1986","Numenius phaeopus",0
"602","1987","Numenius phaeopus",0
"603","1988","Numenius phaeopus",0
"604","1989","Numenius phaeopus",0
"605","1990","Numenius phaeopus",0
"606","1991","Numenius phaeopus",0
"607","1992","Numenius phaeopus",0
"608","1993","Numenius phaeopus",0
"609","1994","Numenius phaeopus",0
"610","1995","Numenius phaeopus",0
"611","1996","Numenius phaeopus",0
"612","1997","Numenius phaeopus",0
"613","1998","Numenius phaeopus",0
"614","1999","Numenius phaeopus",0
"615","2000","Numenius phaeopus",5940
"616","2001","Numenius phaeopus",0
"617","2002","Numenius phaeopus",0
"618","2003","Numenius phaeopus",0
"619","2004","Numenius phaeopus",0
"620","2005","Numenius phaeopus",0
"621","2006","Numenius phaeopus",0
"622","2007","Numenius phaeopus",0
"623","2008","Numenius phaeopus",0
"624","2009","Numenius phaeopus",0
"625","2010","Numenius phaeopus",0
"626","2011","Numenius phaeopus",270
"627","2012","Numenius phaeopus",270
"628","2013","Numenius phaeopus",90
"629","2014","Numenius phaeopus",180
"630","2015","Numenius phaeopus",360
"631","1981","Himantopus himantopus",0
"632","1982","Himantopus himantopus",0
"633","1983","Himantopus himantopus",0
"634","1984","Himantopus himantopus",0
"635","1985","Himantopus himantopus",0
"636","1986","Himantopus himantopus",0
"637","1987","Himantopus himantopus",0
"638","1988","Himantopus himantopus",0
"639","1989","Himantopus himantopus",0
"640","1990","Himantopus himantopus",0
"641","1991","Himantopus himantopus",0
"642","1992","Himantopus himantopus",0
"643","1993","Himantopus himantopus",0
"644","1994","Himantopus himantopus",0
"645","1995","Himantopus himantopus",0
"646","1996","Himantopus himantopus",0
"647","1997","Himantopus himantopus",0
"648","1998","Himantopus himantopus",0
"649","1999","Himantopus himantopus",0
"650","2000","Himantopus himantopus",0
"651","2001","Himantopus himantopus",0
"652","2002","Himantopus himantopus",0
"653","2003","Himantopus himantopus",0
"654","2004","Himantopus himantopus",0
"655","2005","Himantopus himantopus",0
"656","2006","Himantopus himantopus",0
"657","2007","Himantopus himantopus",0
"658","2008","Himantopus himantopus",0
"659","2009","Himantopus himantopus",0
"660","2010","Himantopus himantopus",0
"661","2011","Himantopus himantopus",0
"662","2012","Himantopus himantopus",0
"663","2013","Himantopus himantopus",0
"664","2014","Himantopus himantopus",0
"665","2015","Himantopus himantopus",0
"666","1981","Charadrius hiaticula",325
"667","1982","Charadrius hiaticula",536.25
"668","1983","Charadrius hiaticula",780
"669","1984","Charadrius hiaticula",0
"670","1985","Charadrius hiaticula",243.75
"671","1986","Charadrius hiaticula",617.5
"672","1987","Charadrius hiaticula",1316.25
"673","1988","Charadrius hiaticula",0
"674","1989","Charadrius hiaticula",1868.75
"675","1990","Charadrius hiaticula",1527.5
"676","1991","Charadrius hiaticula",0
"677","1992","Charadrius hiaticula",1056.25
"678","1993","Charadrius hiaticula",1007.5
"679","1994","Charadrius hiaticula",162.5
"680","1995","Charadrius hiaticula",0
"681","1996","Charadrius hiaticula",0
"682","1997","Charadrius hiaticula",438.75
"683","1998","Charadrius hiaticula",2453.75
"684","1999","Charadrius hiaticula",0
"685","2000","Charadrius hiaticula",585
"686","2001","Charadrius hiaticula",0
"687","2002","Charadrius hiaticula",1543.75
"688","2003","Charadrius hiaticula",325
"689","2004","Charadrius hiaticula",1462.5
"690","2005","Charadrius hiaticula",3867.5
"691","2006","Charadrius hiaticula",113.75
"692","2007","Charadrius hiaticula",601.25
"693","2008","Charadrius hiaticula",893.75
"694","2009","Charadrius hiaticula",861.25
"695","2010","Charadrius hiaticula",666.25
"696","2011","Charadrius hiaticula",7735
"697","2012","Charadrius hiaticula",6890
"698","2013","Charadrius hiaticula",2486.25
"699","2014","Charadrius hiaticula",3770
"700","2015","Charadrius hiaticula",2697.5
"701","1981","Charadrius dubius",0
"702","1982","Charadrius dubius",10
"703","1983","Charadrius dubius",0
"704","1984","Charadrius dubius",0
"705","1985","Charadrius dubius",0
"706","1986","Charadrius dubius",0
"707","1987","Charadrius dubius",0
"708","1988","Charadrius dubius",0
"709","1989","Charadrius dubius",0
"710","1990","Charadrius dubius",0
"711","1991","Charadrius dubius",0
"712","1992","Charadrius dubius",0
"713","1993","Charadrius dubius",0
"714","1994","Charadrius dubius",0
"715","1995","Charadrius dubius",0
"716","1996","Charadrius dubius",0
"717","1997","Charadrius dubius",0
"718","1998","Charadrius dubius",0
"719","1999","Charadrius dubius",0
"720","2000","Charadrius dubius",0
"721","2001","Charadrius dubius",0
"722","2002","Charadrius dubius",0
"723","2003","Charadrius dubius",0
"724","2004","Charadrius dubius",0
"725","2005","Charadrius dubius",0
"726","2006","Charadrius dubius",0
"727","2007","Charadrius dubius",0
"728","2008","Charadrius dubius",0
"729","2009","Charadrius dubius",0
"730","2010","Charadrius dubius",0
"731","2011","Charadrius dubius",0
"732","2012","Charadrius dubius",0
"733","2013","Charadrius dubius",0
"734","2014","Charadrius dubius",0
"735","2015","Charadrius dubius",0
"736","1981","Pluvialis squatarola",17425
"737","1982","Pluvialis squatarola",14657.5
"738","1983","Pluvialis squatarola",25112.5
"739","1984","Pluvialis squatarola",615
"740","1985","Pluvialis squatarola",8610
"741","1986","Pluvialis squatarola",10455
"742","1987","Pluvialis squatarola",4305
"743","1988","Pluvialis squatarola",0
"744","1989","Pluvialis squatarola",4253.75
"745","1990","Pluvialis squatarola",25830
"746","1991","Pluvialis squatarola",2050
"747","1992","Pluvialis squatarola",8097.5
"748","1993","Pluvialis squatarola",3331.25
"749","1994","Pluvialis squatarola",0
"750","1995","Pluvialis squatarola",2255
"751","1996","Pluvialis squatarola",0
"752","1997","Pluvialis squatarola",5278.75
"753","1998","Pluvialis squatarola",11275
"754","1999","Pluvialis squatarola",8456.25
"755","2000","Pluvialis squatarola",2665
"756","2001","Pluvialis squatarola",0
"757","2002","Pluvialis squatarola",3485
"758","2003","Pluvialis squatarola",2152.5
"759","2004","Pluvialis squatarola",8610
"760","2005","Pluvialis squatarola",5535
"761","2006","Pluvialis squatarola",102.5
"762","2007","Pluvialis squatarola",15887.5
"763","2008","Pluvialis squatarola",6918.75
"764","2009","Pluvialis squatarola",6252.5
"765","2010","Pluvialis squatarola",22396.25
"766","2011","Pluvialis squatarola",47098.75
"767","2012","Pluvialis squatarola",11838.75
"768","2013","Pluvialis squatarola",26035
"769","2014","Pluvialis squatarola",26906.25
"770","2015","Pluvialis squatarola",30801.25
"771","1981","Pluvialis apricaria",87.5
"772","1982","Pluvialis apricaria",43.75
"773","1983","Pluvialis apricaria",0
"774","1984","Pluvialis apricaria",0
"775","1985","Pluvialis apricaria",0
